Value Set Name,Code System,Logical Definition,Code,Code Description
Acute Lymphoblastic Leukemia (ALL) Risk Assessment Value Set,,,,
Acute Lymphoblastic Leukemia (ALL) Risk Assessment Value Set,NCIT,,C122457,Standard Risk Acute Leukemia
Acute Lymphoblastic Leukemia (ALL) Risk Assessment Value Set,NCIT,,C122458,High Risk Acute Leukemia
Benign Neoplasm of Brain and CNS Disorder Value Set,,,,
Benign Neoplasm of Brain and CNS Disorder Value Set,ICD-10 CM,,D18.02,Hemangioma of intracranial structures
Benign Neoplasm of Brain and CNS Disorder Value Set,ICD-10 CM,,D32,BENIGN NEOPLASM OF MENINGES
Benign Neoplasm of Brain and CNS Disorder Value Set,ICD-10 CM,,D32.0,Benign neoplasm of cerebral meninges
Benign Neoplasm of Brain and CNS Disorder Value Set,ICD-10 CM,,D32.1,Benign neoplasm of spinal meninges
Benign Neoplasm of Brain and CNS Disorder Value Set,ICD-10 CM,,D32.9,"Benign neoplasm of meninges, unspecified"
Benign Neoplasm of Brain and CNS Disorder Value Set,ICD-10 CM,,D33,BENIGN NEOPLASM OF BRAIN AND OTHER PARTS OF CENTRAL NERVOUS SYSTEM
Benign Neoplasm of Brain and CNS Disorder Value Set,ICD-10 CM,,D33.0,"Benign neoplasm of brain, supratentorial"
Benign Neoplasm of Brain and CNS Disorder Value Set,ICD-10 CM,,D33.1,"Benign neoplasm of brain, infratentorial"
Benign Neoplasm of Brain and CNS Disorder Value Set,ICD-10 CM,,D33.2,"Benign neoplasm of brain, unspecified"
Benign Neoplasm of Brain and CNS Disorder Value Set,ICD-10 CM,,D33.3,Benign neoplasm of cranial nerves
Benign Neoplasm of Brain and CNS Disorder Value Set,ICD-10 CM,,D33.4,Benign neoplasm of spinal cord
Benign Neoplasm of Brain and CNS Disorder Value Set,ICD-10 CM,,D33.7,Benign neoplasm of other specified parts of central nervous system
Benign Neoplasm of Brain and CNS Disorder Value Set,ICD-10 CM,,D33.9,"Benign neoplasm of central nervous system, unspecified"
Benign Neoplasm of Brain and CNS Disorder Value Set,ICD-10 CM,,D35.2,Benign neoplasm of pituitary gland
Benign Neoplasm of Brain and CNS Disorder Value Set,ICD-10 CM,,D35.3,Benign neoplasm of craniopharyngeal duct
Benign Neoplasm of Brain and CNS Disorder Value Set,ICD-10 CM,,D35.4,Benign neoplasm of pineal gland
