ICD-10-CM Code Specific,"ICD-10-CM Code Definition (FY 2026)
(Category and subcategory codes highlighted in blue)
",General Category,SEER Casefinding List,"NPCR ePath WG
(for epath selection only)",,,,
C00,Malignant neoplasm of lip,Malignant neoplasm ,Category Code,Category Code (Core),,,,
C00.0,Malignant neoplasm of external upper lip,Malignant neoplasm,Reportable,Core,,,,
C00.1,Malignant neoplasm of external lower lip,Malignant neoplasm,Reportable,Core,,,,
C00.2,"Malignant neoplasm of external lip, unspecified",Malignant neoplasm,Reportable,Core,,,,
C00.3,"Malignant neoplasm of upper lip, inner aspect",Malignant neoplasm,Reportable,Core,,,,
C00.4,"Malignant neoplasm of lower lip, inner aspect",Malignant neoplasm,Reportable,Core,,,,
C00.5,"Malignant neoplasm of lip, unspecified, inner aspect",Malignant neoplasm,Reportable,Core,,,,
C00.6,"Malignant neoplasm of commissure of lip, unspecified",Malignant neoplasm,Reportable,Core,,,,
C00.8,Malignant neoplasm of overlapping sites of lip,Malignant neoplasm,Reportable,Core,,,,
C00.9,"Malignant neoplasm of lip, unspecified",Malignant neoplasm,Reportable,Core,,,,
C01,Malignant neoplasm of base of tongue,Malignant neoplasm,Reportable,Core,,,,
C02,Malignant neoplasm of other and unspecified parts of tongue,Malignant neoplasm ,Category Code,Category Code (Core),,,,
C02.0,Malignant neoplasm of dorsal surface of tongue,Malignant neoplasm,Reportable,Core,,,,
C02.1,Malignant neoplasm of border of tongue,Malignant neoplasm,Reportable,Core,,,,
C02.2,Malignant neoplasm of ventral surface of tongue,Malignant neoplasm,Reportable,Core,,,,
C02.3,"Malignant neoplasm of anterior two-thirds of tongue, part unspecified",Malignant neoplasm,Reportable,Core,,,,
C02.4,Malignant neoplasm of lingual tonsil,Malignant neoplasm,Reportable,Core,,,,
C02.8,Malignant neoplasm of overlapping sites of tongue,Malignant neoplasm,Reportable,Core,,,,
C02.9,"Malignant neoplasm of tongue, unspecified",Malignant neoplasm,Reportable,Core,,,,
C03,Malignant neoplasm of gum,Malignant neoplasm ,Category Code,Category Code (Core),,,,
C03.0,Malignant neoplasm of upper gum,Malignant neoplasm,Reportable,Core,,,,
C03.1,Malignant neoplasm of lower gum,Malignant neoplasm,Reportable,Core,,,,
C03.9,"Malignant neoplasm of gum, unspecified",Malignant neoplasm,Reportable,Core,,,,
